"SPID","SpeciesID","ScientificName","Taxon","Family","Genus","Species","Infraspecific","BOLDID","CommonName","MicroLep","Specialist","wtMPD","Records","Hosts","Notes"
86,"ULMRU","Ulmus rubra","Plantae","Ulmaceae","Ulmus","rubra","",NA,"Slippery Elm",NA,NA,NA,NA,NA,""
87,"ULMXX","Ulmus","Plantae","Ulmaceae","Ulmus","","",NA,"Elm",NA,NA,NA,NA,NA,""
88,"VACAN","Vaccinium angustifolium","Plantae","Ericaceae","Vaccinium","angustifolium","",NA,"Lowbush Blueberry",NA,NA,NA,NA,NA,""
89,"VACCO","Vaccinium corymbosum","Plantae","Ericaceae","Vaccinium","corymbosum","",NA,"Highbush Blueberry",NA,NA,NA,NA,NA,""
90,"VACPA","Vaccinium pallidum","Plantae","Ericaceae","Vaccinium","pallidum","",NA,"Hillside Blueberry",NA,NA,NA,NA,NA,""
91,"VACXX","Vaccinium","Plantae","Ericaceae","Vaccinium","","",NA,"Blueberry",NA,NA,NA,NA,NA,""
92,"VIBAC","Viburnum acerifolium","Plantae","Adoxaceae","Viburnum","acerifolium","",NA,"Mapleleaf Viburnum",NA,NA,NA,NA,NA,""
93,"VIBDE","Viburnum dentatum","Plantae","Adoxaceae","Viburnum","dentatum","",NA,"Arrowwood Viburnum",NA,NA,NA,NA,NA,""
94,"VIBXX","Viburnum","Plantae","Adoxaceae","Viburnum","","",NA,"Viburnum",NA,NA,NA,NA,NA,""
95,"VITAE","Vitis aestivalis","Plantae","Vitaceae","Vitis","aestivalis","",NA,"Summer Grape",NA,NA,NA,NA,NA,""
